EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3428,Paula,Small,11-Feb-23,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,"Production       ",Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3
3430,Michael,Riordan,21-Jun-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2
3431,Jasmine,Onque,29-Jun-19,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3
3440,Xana,Potts,05-Dec-19,17-Feb-23,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,06-11-1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4
3442,Kaylah,Moon,09-Jul-19,16-Jun-22,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2
3444,Bobby,Rodgers,28-Nov-21,04-Feb-22,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,01-05-1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2
3448,Angela,Molina,01-Oct-19,06-Nov-20,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Sales,Engineers,12-05-1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3
3452,Jaydon,Blackburn,08-Nov-22,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,07-01-1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2
3456,Axel,Howe,06-Mar-23,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Sales,Field Operations,12-08-1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Sales,General - Con,09-02-1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2
3460,Alisa,James,19-Feb-20,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,10-02-1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,09-08-1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3467,Celia,Curtis,06-May-20,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),01-10-1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
3474,Arely,Patton,09-Mar-20,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2
3476,Charlie,Koch,12-Jun-23,06-Jul-23,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
3477,Sonny,Horne,07-Apr-19,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,03-12-1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
3479,Sarai,Stone,02-Aug-22,02-Apr-23,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
3482,Cristal,Bolton,29-Oct-19,07-Feb-21,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Sales,Catv,11-02-1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
3489,Devyn,Powers,04-Mar-22,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,02-05-1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,10-07-1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
3496,Aspen,Bentley,02-Dec-21,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,19-09-1964,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,17-10-1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Sales,General - Con,19-04-1959,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4
3503,Geovanni,Pugh,20-Jan-22,,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,27-07-1951,CO,Manager,Male,71319,Other,Single,Fully Meets,4
3507,Ivan,Huff,25-Feb-21,07-Apr-23,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,24-03-1973,CA,Manager,Male,9437,White,Single,Fully Meets,4
3510,Raven,Koch,10-Feb-20,,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,17-10-1956,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
3515,Kinsley,Flowers,09-Mar-22,10-Dec-22,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Sales,Finance & Accounting,29-04-1997,CO,Controller,Male,59593,White,Single,Fully Meets,4
3517,Milagros,Francis,19-Feb-20,,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,04-01-1942,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
3523,Rohan,Chapman,25-Jun-21,25-Aug-22,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,19-12-1978,KY,Laborer,Female,23092,Other,Single,Fully Meets,2
3534,Lee,Frye,14-Sep-18,,Area Sales Manager,Sonia Diaz,lee.frye@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,16-08-1959,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4
3535,Veronica,Rowe,11-Dec-18,02-Jun-22,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,02-02-1994,KY,Engineer,Female,29811,Black,Single,Fully Meets,4
3542,Ellie,Gill,15-Apr-23,,Area Sales Manager,Amanda Knight,ellie.gill@bilearner.com,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,01-03-1948,IN,Manager,Male,45456,White,Married,Needs Improvement,1
3543,Rayne,Kerr,10-Nov-20,,Area Sales Manager,Kimberly Cardenas,rayne.kerr@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,18-02-1981,CA,Laborer,Female,45509,Black,Single,Fully Meets,2
3544,Samara,Mcbride,29-Jun-23,09-Jul-23,Area Sales Manager,Laura Salinas,samara.mcbride@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,16-09-2000,CA,Foreman,Male,13902,Asian,Single,Fully Meets,2
3548,Sanaa,Glass,11-Jul-21,10-Oct-22,Area Sales Manager,Stephen Garcia,sanaa.glass@bilearner.com,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,25-01-1964,KY,Technician,Female,40135,White,Single,Fully Meets,1
3558,Mildred,Gentry,30-Dec-18,,Production Technician I,Erin Moore,mildred.gentry@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,"Production       ",Yard (Material Handling),04-06-1959,MA,Manager,Female,2145,Black,Single,Fully Meets,1
3566,Maliki,Moumanil,26-Sep-21,,Production Technician II,Desiree Stephens,maliki.moumanil@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,"Production       ",Aerial,05-10-1963,MA,Lineman,Male,1460,Black,Single,Fully Meets,2
3572,Timothy,Sullivan,12-Mar-19,19-May-20,Production Technician I,Shawn Berry,timothy.sullivan@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,"Production       ",Fielders,07-06-1994,MA,Engineer,Male,2747,White,Single,Fully Meets,5
3575,George,Johnson,28-Apr-21,18-Jan-22,Production Technician I,Amanda Smith,george.johnson@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Zone A,Temporary,"Production       ",Field Operations,05-03-1987,MA,Groundman,Male,2445,Hispanic,Single,Exceeds,5
3578,Clinton,Owad,04-May-19,,Production Technician I,Elizabeth Sullivan MD,clinton.owad@bilearner.com,WBL,Active,Full-Time,Zone A,Temporary,"Production       ",Field Operations,30-05-1957,MA,Technician,Male,1760,Hispanic,Married,Exceeds,2
3581,Ross,Strickland,20-Nov-20,01-May-23,Production Technician I,Paul Walker,ross.strickland@bilearner.com,SVG,Active,Full-Time,Zone A,Part-Time,"Production       ",Wireline Construction,08-03-1943,MA,Foreman,Male,18389,Other,Divorced,Fully Meets,2
3585,Edward,Everett,22-Dec-21,,Production Technician I,Traci Floyd,edward.everett@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,"Production       ",Yard (Material Handling),16-07-1992,MA,Laborer,Female,3074,Black,Divorced,Fully Meets,4
3593,Brayden,Malone,30-May-20,,Production Technician I,Ashley Bradshaw,brayden.malone@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,"Production       ",General - Con,11-11-1949,MA,Foreman,Male,48453,Asian,Married,Fully Meets,1
3595,Fisher,Stafford,22-Sep-20,14-Sep-22,Production Technician I,Nicole Delgado,fisher.stafford@bilearner.com,WBL,Active,Contract,Zone A,Temporary,"Production       ",Engineers,02-03-1952,MA,Technician,Male,56703,Other,Divorced,Fully Meets,1
3598,Derick,Rocha,28-Sep-18,05-Aug-23,Production Technician II,Alex Moore,derick.rocha@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone A,Full-Time,"Production       ",Project Management - Eng,06-10-1950,MA,Supervisor,Female,72750,Other,Married,Needs Improvement,1
3599,Elaine,Weeks,12-Apr-20,,Production Technician II,Dana Smith,elaine.weeks@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,"Production       ",General - Con,31-03-1950,MA,Technician,Female,14044,White,Divorced,Fully Meets,2
3603,Houston,Aguirre,29-Nov-18,21-Feb-19,Production Technician II,Christine Costa,houston.aguirre@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone A,Part-Time,"Production       ",Field Operations,15-02-1977,MA,Technician,Female,58348,White,Married,Fully Meets,2
3607,Frankie,Atkins,18-Jun-19,14-Apr-21,Production Technician I,Christopher Murray,frankie.atkins@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,"Production       ",Project Management - Con,03-08-1976,MA,Coordinator,Male,15195,Other,Married,Fully Meets,5
3612,Edward,Mann,23-Jan-22,,Production Technician I,Trevor Rodriguez,edward.mann@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,"Production       ",Field Operations,25-12-1984,MA,Technician,Male,68900,Black,Single,PIP,4
3619,Karissa,Bowers,23-Mar-23,01-May-23,Production Technician I,Robert Wright,karissa.bowers@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,"Production       ",General - Con,17-03-1984,MA,Technician,Male,76278,Asian,Married,Fully Meets,3
3620,Noel,Ramirez,22-Mar-23,14-Jul-23,Production Technician I,Mr. Nicholas Austin,noel.ramirez@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,"Production       ",General - Eng,12-10-1994,MA,Specialist,Male,77580,Hispanic,Married,Fully Meets,2
3621,Victoria,Franco,28-Nov-18,,Production Technician I,Natalie Cannon,victoria.franco@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,"Production       ",Wireless,09-09-1997,MA,Laborer,Male,15586,White,Married,Fully Meets,2
3622,Danika,Fleming,09-Jul-20,10-Jul-21,Production Technician II,Christopher Ayers,danika.fleming@bilearner.com,SVG,Active,Part-Time,Zone A,Temporary,"Production       ",Field Operations,16-10-1995,MA,Laborer,Female,75607,Hispanic,Divorced,Fully Meets,3
